Index;Name;Houses
96;    Unterfranken, Regierungsbezirk;636361
9661;      Aschaffenburg;35799
9662;      Schweinfurt;26688
9663;      WŸrzburg;71462
9671;      Aschaffenburg, Landkreis;81965
9672;      Bad Kissingen, Landkreis;51646
9673;      Rhšn-Grabfeld, Landkreis;38373
9674;      Ha§berge, Landkreis;37875
9675;      Kitzingen, Landkreis;41565
9676;      Miltenberg, Landkreis;60608
9677;      Main-Spessart, Landkreis;61225
9678;      Schweinfurt, Landkreis;53040
9679;      WŸrzburg, Landkreis;76118
97;    Schwaben, Regierungsbezirk;844593
9761;      Augsburg;138503
9762;      Kaufbeuren;20647
9763;      Kempten (AllgŠu);31089
9764;      Memmingen;19381
9771;      Aichach-Friedberg, Landkreis;55867
9772;      Augsburg, Landkreis;108404
9773;      Dillingen a.d.Donau, Landkreis;39509
9774;      GŸnzburg, Landkreis;52026
9775;      Neu-Ulm, Landkreis;75983
9776;      Lindau (Bodensee), Landkreis;40323
9777;      OstallgŠu, Landkreis;64161
9778;      UnterallgŠu, Landkreis;60232
9779;      Donau-Ries, Landkreis;56026
9780;      OberallgŠu, Landkreis;82445
10;  Saarland;503218
10041;      SaarbrŸcken, Regionalverband;175554
10041100;      SaarbrŸcken, Landeshauptstadt;97650
10042;      Merzig-Wadern, Landkreis;47871
10043;      Neunkirchen, Landkreis;69302
10044;      Saarlouis, Landkreis;95689
10045;      Saarpfalz-Kreis;72026
10046;      St. Wendel, Landkreis;42777
11;  Berlin;1719404
12;  Brandenburg;1252910
12051;      Brandenburg an der Havel, Kreisfreie Stadt;42176
12052;      Cottbus, Kreisfreie Stadt;51005
12053;      Frankfurt (Oder), Kreisfreie Stadt;30626
12054;      Potsdam, Kreisfreie Stadt;80455
12060;      Barnim, Landkreis;86236
12061;      Dahme-Spreewald, Landkreis;77993
12062;      Elbe-Elster, Landkreis;56348
12063;      Havelland, Landkreis;75365
12064;      MŠrkisch-Oderland, Landkreis;93643
12065;      Oberhavel, Landkreis;98912
12066;      Oberspreewald-Lausitz, Landkreis;64571
12067;      Oder-Spree, Landkreis;91638
12068;      Ostprignitz-Ruppin, Landkreis;52689
12069;      Potsdam-Mittelmark, Landkreis;93885
12070;      Prignitz, Landkreis;44711
12071;      Spree-Nei§e, Landkreis;64391
12072;      Teltow-FlŠming, Landkreis;81087
12073;      Uckermark, Landkreis;67181
13;  Mecklenburg-Vorpommern;871130
