Index;Name;Construction
12069;      Potsdam-Mittelmark, Landkreis;787
12070;      Prignitz, Landkreis;67
12071;      Spree-Nei§e, Landkreis;198
12072;      Teltow-FlŠming, Landkreis;457
12073;      Uckermark, Landkreis;212
13;  Mecklenburg-Vorpommern;4043
13001;      Kreisfreie Stadt Greifswald, Hansestadt;-
13002;      Kreisfreie Stadt Neubrandenburg, Stadt;-
13003;      Kreisfreie Stadt Rostock, Hansestadt;368
13004;      Kreisfreie Stadt Schwerin, Landeshauptstadt;191
13005;      Kreisfreie Stadt Stralsund, Hansestadt;-
13006;      Kreisfreie Stadt Wismar, Hansestadt;-
13051;      Landkreis Bad Doberan;-
13052;      Landkreis Demmin;-
13053;      Landkreis GŸstrow;-
13054;      Landkreis Ludwigslust;-
13055;      Landkreis Mecklenburg-Strelitz;-
13056;      Landkreis MŸritz;-
13057;      Landkreis Nordvorpommern;-
13058;      Landkreis Nordwestmecklenburg;-
13059;      Landkreis Ostvorpommern;-
13060;      Landkreis Parchim;-
13061;      Landkreis RŸgen;-
13062;      Landkreis Uecker-Randow;-
13071;      Landkreis Mecklenburgische Seenplatte;353
13072;      Landkreis Rostock;784
13073;      Landkreis Vorpommern-RŸgen;910
13074;      Landkreis Nordwestmecklenburg;422
13075;      Landkreis Vorpommern-Greifswald;737
13076;      Landkreis Ludwigslust-Parchim;278
14;  Sachsen;6121
141;    Chemnitz, Regierungsbezirk;-
14161;      Chemnitz, Kreisfreie Stadt;-
14166;      Plauen, Kreisfreie Stadt;-
14167;      Zwickau, Kreisfreie Stadt;-
14171;      Annaberg, Landkreis;-
14173;      Chemnitzer Land, Landkreis;-
14177;      Freiberg, Landkreis;-
14178;      Vogtlandkreis;-
14181;      Mittlerer Erzgebirgskreis;-
14182;      Mittweida, Landkreis;-
14188;      Stollberg, Landkreis;-
14191;      Aue-Schwarzenberg, Landkreis;-
14193;      Zwickauer Land, Landkreis;-
142;    Dresden, Regierungsbezirk;-
14262;      Dresden, Kreisfreie Stadt;-
14263;      Gšrlitz, Kreisfreie Stadt;-
14264;      Hoyerswerda, Kreisfreie Stadt;-
14272;      Bautzen, Landkreis;-
14280;      Mei§en, Landkreis;-
14284;      Niederschlesischer Oberlausitzkreis;-
14285;      Riesa-Gro§enhain, Landkreis;-
14286;      Lšbau-Zittau, Landkreis;-
14287;      SŠchsische Schweiz, Landkreis;-
14290;      Wei§eritzkreis;-
14292;      Kamenz, Landkreis;-
143;    Leipzig, Regierungsbezirk;-
14365;      Leipzig, Kreisfreie Stadt;-
14374;      Delitzsch, Landkreis;-
14375;      Dšbeln, Landkreis;-
14379;      Leipziger Land, Landkreis;-
14383;      Muldentalkreis;-
14389;      Torgau-Oschatz, Landkreis;-
145;    Chemnitz, NUTS 2-Region;1747
14511;      Chemnitz, Stadt;410
14521;      Erzgebirgskreis;516
14522;      Mittelsachsen, Landkreis;272
14523;      Vogtlandkreis;290
14524;      Zwickau, Landkreis;259
146;    Dresden, NUTS 2-Region;2721
14612;      Dresden, Stadt;1298
14625;      Bautzen, Landkreis;345
14626;      Gšrlitz, Landkreis;149
14627;      Mei§en, Landkreis;518
14628;      SŠchsische Schweiz-Osterzgebirge, Landkreis;411
147;    Leipzig, NUTS 2-Region;1653
14713;      Leipzig, Stadt;783
14729;      Leipzig, Landkreis;564
14730;      Nordsachsen, Landkreis;306
15;  Sachsen-Anhalt;2310
