Index,Name,Birthrate/1000 inh,Beds in hospitals (JD)_hospital,20-40 year olds,40-65 year olds,65 year and older,Total_workingAge,Total Unemployed_unemployed,Population density (inh/km2),Kaufsumme - Total (Tsd. EUR)_worthArea,Hospitals_hospital,Avg life exp men,Avg life exp women,Differences in life exp,Spendable Income
14524,Zwickau,7.681783726820611,2065.0,63196,94462,89903,125354.0,11787.0,341.6902683751145,15714,6.0,77.81,82.34,4.530000000000001,18656
14612,Dresden,11.441180526823887,3685.0,171148,129314,117325,205436.0,22489.0,1655.5802484169508,188135,7.0,77.9,81.34,3.4399999999999977,17638
14625,Bautzen,8.218158309743268,1764.0,58372,92792,79256,119119.0,12945.0,127.8481382534647,36889,7.0,76.73,80.98,4.25,18623
14626,Görlitz,7.292307692307692,1939.0,47476,76634,72686,91670.0,14933.0,123.13987742846047,26143,7.0,78.08,81.62,3.5400000000000063,17483
14627,Meißen,8.138833162075322,1207.0,47666,73523,63510,93447.0,10365.0,168.6000866223472,50764,6.0,78.19,82.51,4.320000000000007,19013
14628,Sächsische Schweiz-Osterzgebirge,8.18877014857808,1293.0,48603,72521,64428,95468.0,9383.0,149.5677616704349,19370,6.0,78.75,81.89,3.1400000000000006,18735
14713,Leipzig,11.772220556959136,4004.0,183743,135153,116927,203027.0,27270.0,1882.0416386836803,42225,7.0,79.34,82.84,3.5,16542
14729,Leipzig,7.600383889043683,1124.0,48876,81115,64944,100718.0,9982.0,156.47908731432307,36404,4.0,78.06,78.26,0.20000000000000284,19319
14730,Nordsachsen,7.697173654512791,1430.0,38919,62475,48147,78269.0,10061.0,97.41818755484564,34213,7.0,77.72,82.09,4.3700000000000045,18348
15001,Dessau-Roßlau,7.115377657714155,947.0,16144,23798,24801,29814.0,4612.0,338.8044455340361,3745,3.0,74.33,79.53,5.200000000000003,18199
15002,Halle (Saale),9.329468207653456,2969.0,67401,58823,55880,80094.0,13146.0,1755.2288549844466,22425,6.0,78.59,82.12,3.530000000000001,16411
15003,Magdeburg,9.324503760770057,2337.0,65960,60772,56206,85694.0,13453.0,1172.7512437810944,14962,6.0,77.62,81.31,3.6899999999999977,16912
15081,Altmarkkreis Salzwedel,8.344552249199202,430.0,17529,27852,19536,35860.0,3941.0,37.576154030657854,2932,1.0,78.35,81.61,3.260000000000005,18380
15082,Anhalt-Bitterfeld,7.347543032575523,890.0,32174,51345,43056,62515.0,8783.0,113.39084848609936,9957,3.0,78.06,81.02,2.9599999999999937,17723
15083,Börde,8.09924310987877,641.0,35815,56709,38279,73265.0,7252.0,73.29896689413306,12199,3.0,77.31,80.22,2.9099999999999966,18917
15084,Burgenlandkreis,7.643374384102651,1076.0,36000,56822,48885,69295.0,9725.0,130.21313017705438,6552,2.0,78.02,81.82,3.799999999999997,17761
15085,Harz,7.110396357164154,1642.0,43453,67296,58042,83813.0,8988.0,105.18598065116987,11113,5.0,78.08,81.46,3.3799999999999955,17869
15086,Jerichower Land,7.623264589445214,756.0,17791,29725,22157,35478.0,4717.0,58.14947521958335,4144,4.0,76.91,80.8,3.8900000000000006,19313
15087,Mansfeld-Südharz,6.661575016972165,780.0,26003,43602,39086,50102.0,9398.0,97.60083929212335,2167,1.0,76.88,81.34,4.460000000000008,17363
15088,Saalekreis,7.364655019819665,649.0,37121,58933,44991,75563.0,9314.0,130.03759582051657,20406,1.0,78.04,81.85,3.809999999999988,18673
15089,Salzlandkreis,7.056610488319479,1464.0,38166,60757,51976,71281.0,11463.0,137.86420696277503,4809,6.0,77.07,80.28,3.210000000000008,17237
15090,Stendal,7.148930263226389,1034.0,22817,37035,27287,41582.0,7178.0,47.56720618701355,4182,4.0,78.11,82.21,4.099999999999994,17287
15091,Wittenberg,6.804362888973662,621.0,23758,40413,34440,49820.0,6882.0,66.5425063461638,4956,3.0,78.34,82.2,3.8599999999999994,18129
16051,Erfurt,9.823051808983523,1664.0,58660,56740,45160,76674.0,8605.0,778.4743062502315,23275,2.0,77.81,81.21,3.3999999999999915,17244
16052,Gera,7.415816937642562,963.0,20039,27180,26114,33807.0,5324.0,630.862737367764,4639,1.0,77.98,81.7,3.719999999999999,17971
16053,Jena,10.152747724305422,1445.0,37755,24877,22566,38531.0,3760.0,954.4004879749041,14736,1.0,78.38,82.48,4.1000000000000085,16920
16054,Suhl,6.634401000598183,597.0,6869,10483,10701,13431.0,1317.0,356.963991070562,1357,1.0,,,,20058
16055,Weimar,9.433815159595204,555.0,17621,16791,14142,21501.0,2583.0,759.1264204545454,5440,1.0,,,,17227
16056,Eisenach,9.005823136949807,404.0,9776,12256,10741,16205.0,1739.0,407.1901699145627,2458,1.0,,,,17742
16061,Eichsfeld,9.27707870713052,445.0,22579,30162,22319,41956.0,2907.0,107.44165332371934,7747,1.0,,,,18177
16062,Nordhausen,8.470505535703825,1014.0,18205,25343,21414,32019.0,3947.0,119.55988850135172,1821,4.0,,,,17128
16063,Wartburgkreis,8.2129640682822,523.0,25868,39498,29764,53702.0,3909.0,96.10839586058144,4699,3.0,,,,18557
16064,Unstrut-Hainich-Kreis,8.615694432570555,1212.0,22025,32040,24517,40610.0,5510.0,107.4554195714971,3270,4.0,,,,17480
16065,Kyffhäuserkreis,7.22344702373233,517.0,15033,23984,19595,28712.0,4360.0,74.29496382082878,917,1.0,,,,16941
16066,Schmalkalden-Meiningen,7.614966739686896,856.0,26071,38608,30839,51079.0,3639.0,102.93211533537618,4736,3.0,,,,18557
16067,Gotha,8.068347085090368,528.0,29009,41858,32468,54639.0,5097.0,146.17447226732756,5418,2.0,,,,17743
16068,Sömmerda,7.960339943342776,0.0,14375,22392,15823,28949.0,3121.0,87.5018591046552,1384,0.0,,,,17858
16069,Hildburghausen,8.275990329179841,563.0,13787,20302,14969,28686.0,1774.0,68.75812535964707,1693,2.0,,,,18646
16070,Ilm-Kreis,8.365261813537675,577.0,24929,32058,26796,41712.0,4274.0,129.9261594623745,6280,2.0,,,,17719
16071,Weimarer Land,7.987628916190777,1114.0,16631,26186,18161,33485.0,2771.0,102.08706245027844,6772,3.0,,,,18190
16072,Sonneberg,6.828821852229927,381.0,11061,17710,14994,23781.0,1286.0,131.03480085791378,1267,1.0,,,,18939
16073,Saalfeld-Rudolstadt,7.522099599187393,990.0,20650,33462,29755,43311.0,4449.0,105.47764060886269,6093,3.0,,,,18322
16074,Saale-Holzland-Kreis,8.04093567251462,664.0,17508,26494,20257,34196.0,2890.0,105.71481140754369,7882,3.0,,,,18486
16075,Saale-Orla-Kreis,7.667177008113224,120.0,16217,25832,20733,34416.0,2963.0,72.04985668374881,2727,1.0,,,,18299
16076,Greiz,7.536048420594577,439.0,17858,31617,27400,38352.0,3986.0,119.52292016359725,2103,2.0,,,,18683
16077,Altenburger Land,6.854803777180975,606.0,16374,28212,26304,34050.0,5004.0,162.17488277339703,1413,2.0,,,,17699
