Index,Name,Construction_ConstructionOfHouses,Houses_NumberOfHouses
9774,"GŸnzburg, Landkreis",432,52026
9775,"Neu-Ulm, Landkreis",599,75983
9776,"Lindau (Bodensee), Landkreis",242,40323
9777,"OstallgŠu, Landkreis",319,64161
9778,"UnterallgŠu, Landkreis",538,60232
9779,"Donau-Ries, Landkreis",426,56026
9780,"OberallgŠu, Landkreis",579,82445
10,Saarland,1396,503218
10041,"SaarbrŸcken, Regionalverband",318,175554
10041100,"SaarbrŸcken, Landeshauptstadt",209,97650
10042,"Merzig-Wadern, Landkreis",327,47871
10043,"Neunkirchen, Landkreis",171,69302
10044,"Saarlouis, Landkreis",264,95689
10045,Saarpfalz-Kreis,227,72026
10046,"St. Wendel, Landkreis",89,42777
11,Berlin,7069,1719404
12,Brandenburg,8017,1252910
12051,"Brandenburg an der Havel, Kreisfreie Stadt",94,42176
12052,"Cottbus, Kreisfreie Stadt",221,51005
12053,"Frankfurt (Oder), Kreisfreie Stadt",51,30626
12054,"Potsdam, Kreisfreie Stadt",1047,80455
12060,"Barnim, Landkreis",808,86236
12061,"Dahme-Spreewald, Landkreis",590,77993
12062,"Elbe-Elster, Landkreis",86,56348
12063,"Havelland, Landkreis",1015,75365
12064,"MŠrkisch-Oderland, Landkreis",639,93643
12065,"Oberhavel, Landkreis",914,98912
12066,"Oberspreewald-Lausitz, Landkreis",113,64571
12067,"Oder-Spree, Landkreis",542,91638
12068,"Ostprignitz-Ruppin, Landkreis",176,52689
12069,"Potsdam-Mittelmark, Landkreis",787,93885
12070,"Prignitz, Landkreis",67,44711
12071,"Spree-Nei§e, Landkreis",198,64391
12072,"Teltow-FlŠming, Landkreis",457,81087
12073,"Uckermark, Landkreis",212,67181
13,Mecklenburg-Vorpommern,4043,871130
13001,"Kreisfreie Stadt Greifswald, Hansestadt",-,30917
13002,"Kreisfreie Stadt Neubrandenburg, Stadt",-,34016
13003,"Kreisfreie Stadt Rostock, Hansestadt",368,108426
13004,"Kreisfreie Stadt Schwerin, Landeshauptstadt",191,55426
13005,"Kreisfreie Stadt Stralsund, Hansestadt",-,33849
13006,"Kreisfreie Stadt Wismar, Hansestadt",-,26485
13051,Landkreis Bad Doberan,-,57985
13052,Landkreis Demmin,-,41227
13053,Landkreis GŸstrow,-,50749
13054,Landkreis Ludwigslust,-,59613
13055,Landkreis Mecklenburg-Strelitz,-,41479
13056,Landkreis MŸritz,-,34492
13057,Landkreis Nordvorpommern,-,56612
13058,Landkreis Nordwestmecklenburg,-,56157
13059,Landkreis Ostvorpommern,-,57696
13060,Landkreis Parchim,-,47320
13061,Landkreis RŸgen,-,40605
13062,Landkreis Uecker-Randow,-,38080
13071,Landkreis Mecklenburgische Seenplatte,353,-
13072,Landkreis Rostock,784,-
13073,Landkreis Vorpommern-RŸgen,910,-
13074,Landkreis Nordwestmecklenburg,422,-
13075,Landkreis Vorpommern-Greifswald,737,-
13076,Landkreis Ludwigslust-Parchim,278,-
14,Sachsen,6121,2292293
141,"Chemnitz, Regierungsbezirk",-,-
14161,"Chemnitz, Kreisfreie Stadt",-,-
14166,"Plauen, Kreisfreie Stadt",-,-
14167,"Zwickau, Kreisfreie Stadt",-,-
14171,"Annaberg, Landkreis",-,-
14173,"Chemnitzer Land, Landkreis",-,-
14177,"Freiberg, Landkreis",-,-
14178,Vogtlandkreis,-,-
14181,Mittlerer Erzgebirgskreis,-,-
14182,"Mittweida, Landkreis",-,-
14188,"Stollberg, Landkreis",-,-
14191,"Aue-Schwarzenberg, Landkreis",-,-
14193,"Zwickauer Land, Landkreis",-,-
142,"Dresden, Regierungsbezirk",-,-
14262,"Dresden, Kreisfreie Stadt",-,-
14263,"Gšrlitz, Kreisfreie Stadt",-,-
14264,"Hoyerswerda, Kreisfreie Stadt",-,-
14272,"Bautzen, Landkreis",-,-
14280,"Mei§en, Landkreis",-,-
14284,Niederschlesischer Oberlausitzkreis,-,-
14285,"Riesa-Gro§enhain, Landkreis",-,-
14286,"Lšbau-Zittau, Landkreis",-,-
14287,"SŠchsische Schweiz, Landkreis",-,-
14290,Wei§eritzkreis,-,-
14292,"Kamenz, Landkreis",-,-
143,"Leipzig, Regierungsbezirk",-,-
